23 Sep 2019 19:03:34, Gen 18, Species 0, finished with a score of 409.00
23 Sep 2019 19:03:51, Gen 18, Species 1, finished with a score of 255.00
23 Sep 2019 19:04:08, Gen 18, Species 2, finished with a score of 455.00
23 Sep 2019 19:09:00, Gen 18, Species 0, finished with a score of 1417.00
23 Sep 2019 19:09:16, Gen 18, Species 1, finished with a score of 1596.00
23 Sep 2019 19:09:32, Gen 18, Species 2, finished with a score of 1485.00
23 Sep 2019 19:09:48, Gen 18, Species 3, finished with a score of 851.00
23 Sep 2019 19:10:04, Gen 18, Species 4, finished with a score of 1044.00
23 Sep 2019 19:10:26, Gen 19, Species 0, finished with a score of 1503.00
23 Sep 2019 19:10:41, Gen 19, Species 1, finished with a score of 1105.00
23 Sep 2019 19:10:55, Gen 19, Species 2, finished with a score of 1427.00
23 Sep 2019 19:11:11, Gen 19, Species 3, finished with a score of 1431.00
23 Sep 2019 19:11:25, Gen 19, Species 4, finished with a score of 729.00
23 Sep 2019 19:11:52, Gen 20, Species 0, finished with a score of 832.00
23 Sep 2019 19:12:13, Gen 20, Species 1, finished with a score of 1481.00
23 Sep 2019 19:12:34, Gen 20, Species 2, finished with a score of 845.00
23 Sep 2019 19:12:55, Gen 20, Species 3, finished with a score of 950.00
23 Sep 2019 19:13:16, Gen 20, Species 4, finished with a score of 1083.00
23 Sep 2019 19:13:47, Gen 21, Species 0, finished with a score of 853.00
23 Sep 2019 19:14:13, Gen 21, Species 1, finished with a score of 1476.00
23 Sep 2019 19:14:37, Gen 21, Species 2, finished with a score of 1020.00
23 Sep 2019 19:15:02, Gen 21, Species 3, finished with a score of 1349.00
23 Sep 2019 19:15:27, Gen 21, Species 4, finished with a score of 1063.00
23 Sep 2019 19:15:53, Gen 22, Species 0, finished with a score of 1036.00
23 Sep 2019 19:16:13, Gen 22, Species 1, finished with a score of 826.00
23 Sep 2019 19:16:33, Gen 22, Species 2, finished with a score of 1083.00
23 Sep 2019 19:16:54, Gen 22, Species 3, finished with a score of 1187.00
23 Sep 2019 19:26:21, Gen 22, Species 0, finished with a score of 1289.00
23 Sep 2019 19:26:41, Gen 22, Species 1, finished with a score of 865.00
23 Sep 2019 19:27:02, Gen 22, Species 2, finished with a score of 991.00
23 Sep 2019 19:27:23, Gen 22, Species 3, finished with a score of 1157.00
23 Sep 2019 19:27:43, Gen 22, Species 4, finished with a score of 1401.00
23 Sep 2019 19:28:25, Gen 23, Species 0, finished with a score of 1675.00
23 Sep 2019 19:28:58, Gen 23, Species 1, finished with a score of 1304.00
23 Sep 2019 19:29:31, Gen 23, Species 2, finished with a score of 1646.00
23 Sep 2019 19:30:04, Gen 23, Species 3, finished with a score of 933.00
23 Sep 2019 19:30:38, Gen 23, Species 4, finished with a score of 1121.00
23 Sep 2019 19:38:08, Gen 24, Species 0, finished with a score of 1513.00
23 Sep 2019 19:38:24, Gen 24, Species 1, finished with a score of 1228.00
23 Sep 2019 19:38:40, Gen 24, Species 2, finished with a score of 1251.00
23 Sep 2019 19:38:56, Gen 24, Species 3, finished with a score of 1590.00
23 Sep 2019 19:39:12, Gen 24, Species 4, finished with a score of 1408.00
